Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Trip Served,Mode,Wait Time (min),Departure Time,Arrival Time,Duration (min),Origin [lat],Origin [lon],Destination [lat],Destination [lon],Distance (m)
269,2022-10-01 00:44:50,false,110,50000.0,3.0555555555555554,40,package0,true,1,1.6666666666666667,00:22:50,00:44:50,22.0,-71.086885,42.37212699999988,-71.12392810591183,42.388292994269825,3618.90422837766
380,2022-10-01 01:03:20,false,110,50000.0,3.0555555555555554,40,package3990,true,1,1.5,01:00:40,01:03:20,2.6666666666666665,-71.11851899999998,42.37028199999989,-71.11994,42.37206899999988,334.30309742246055
419,2022-10-01 01:09:50,false,110,50000.0,3.0555555555555554,40,package7980,true,1,1.8333333333333333,01:01:00,01:09:50,8.833333333333334,-71.119396,42.37309199999988,-71.113837,42.37768999999988,697.2612427192129
1296,2022-10-01 03:36:00,false,110,50000.0,3.0555555555555554,40,package3,true,1,2.0,03:31:10,03:36:00,4.833333333333333,-71.109872,42.36911099999988,-71.11631324605207,42.37241865360796,680.1697271962696
1655,2022-10-01 04:35:50,false,110,50000.0,3.0555555555555554,40,package3993,true,1,1.5,04:29:40,04:35:50,6.166666666666667,-71.120337,42.389246999999884,-71.12309320793717,42.38225684188844,894.3116133152822
1765,2022-10-01 04:54:10,false,110,50000.0,3.0555555555555554,40,package7983,true,1,1.5,04:47:40,04:54:10,6.5,-71.102333,42.36434299999986,-71.10748925917198,42.357586756743466,996.4663731791588
1910,2022-10-01 05:18:20,false,110,50000.0,3.0555555555555554,40,package6,true,1,3.5,05:00:40,05:18:20,17.666666666666668,-71.075326,42.368018999999876,-71.10507469089406,42.36266151562827,2664.926770459059
1932,2022-10-01 05:22:00,false,110,50000.0,3.0555555555555554,40,package7986,true,1,1.5,05:09:40,05:22:00,12.333333333333334,-71.121151,42.37418899999989,-71.1108903,42.35920989999988,1914.2074782694679
1933,2022-10-01 05:22:10,false,110,50000.0,3.0555555555555554,40,package3996,true,1,1.1666666666666667,05:03:20,05:22:10,18.833333333333332,-71.116945,42.37270799999988,-71.08187540803797,42.372206568575464,2948.890326016657
1946,2022-10-01 05:24:20,false,110,50000.0,3.0555555555555554,40,package9,true,1,1.0,05:21:10,05:24:20,3.1666666666666665,-71.095093,42.37315399999987,-71.09801169746027,42.37073626287468,362.15774610538637
1972,2022-10-01 05:28:40,false,110,50000.0,3.0555555555555554,40,package3999,true,1,3.0,05:26:10,05:28:40,2.5,-71.09047,42.36164899999987,-71.0876848536742,42.36321885202476,353.4780973971622
2004,2022-10-01 05:34:00,false,110,50000.0,3.0555555555555554,40,package7989,true,1,2.0,05:30:10,05:34:00,3.8333333333333335,-71.095093,42.37315399999987,-71.09937807321928,42.37015937794567,485.5236758664254
2016,2022-10-01 05:36:00,false,110,50000.0,3.0555555555555554,40,package12,true,1,2.1666666666666665,05:32:20,05:36:00,3.6666666666666665,-71.09047,42.36164899999987,-71.08743,42.360622999999876,550.4997670551901
2031,2022-10-01 05:38:30,false,110,50000.0,3.0555555555555554,40,package4002,true,1,2.3333333333333335,05:36:30,05:38:30,2.0,-71.116945,42.37270799999988,-71.11631324605207,42.37241865360796,153.83149903658457
2077,2022-10-01 05:46:10,false,110,50000.0,3.0555555555555554,40,package7992,true,1,2.5,05:38:40,05:46:10,7.5,-71.095093,42.37315399999987,-71.10712890649259,42.369591906262954,1087.1274562620902
2078,2022-10-01 05:46:20,false,110,50000.0,3.0555555555555554,40,package15,true,1,2.6666666666666665,05:40:50,05:46:20,5.5,-71.095093,42.37315399999987,-71.08906396371064,42.368771159593265,751.262779751613
2080,2022-10-01 05:46:40,false,110,50000.0,3.0555555555555554,40,package4005,true,1,3.0,05:41:10,05:46:40,5.5,-71.09047,42.36164899999987,-71.082562,42.365951999999865,861.1693753610267
2084,2022-10-01 05:47:20,false,110,50000.0,3.0555555555555554,40,package7995,true,1,3.6666666666666665,05:41:50,05:47:20,5.5,-71.09047,42.36164899999987,-71.082562,42.365951999999865,861.1693753610267
2120,2022-10-01 05:53:20,false,110,50000.0,3.0555555555555554,40,package4008,true,1,2.3333333333333335,05:47:30,05:53:20,5.833333333333333,-71.095093,42.37315399999987,-71.0961805615228,42.36580942545719,839.31185934885
2126,2022-10-01 05:54:20,false,110,50000.0,3.0555555555555554,40,package4011,true,1,1.6666666666666667,05:52:50,05:54:20,1.5,-71.07982,42.372245999999876,-71.07753522467306,42.37180641535293,218.04969371991876
2139,2022-10-01 05:56:30,false,110,50000.0,3.0555555555555554,40,package18,true,1,4.666666666666667,05:48:50,05:56:30,7.666666666666667,-71.09047,42.36164899999987,-71.09384525746042,42.35731286087455,1003.3899103554137
2140,2022-10-01 05:56:40,false,110,50000.0,3.0555555555555554,40,package7998,true,1,3.6666666666666665,05:53:50,05:56:40,2.8333333333333335,-71.096228,42.36132899999988,-71.09995580788264,42.36284920658887,468.13860200510095
2145,2022-10-01 05:57:30,false,110,50000.0,3.0555555555555554,40,package27,true,1,2.5,05:56:40,05:57:30,0.8333333333333334,-71.08203500000002,42.36451199999987,-71.081379,42.364368999999876,112.71763938579721
2146,2022-10-01 05:57:40,false,110,50000.0,3.0555555555555554,40,package21,true,1,1.8333333333333333,05:53:00,05:57:40,4.666666666666667,-71.08203500000002,42.36451199999987,-71.0861518,42.36727539999986,555.4368271337497
