Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Event,Mode,Message,Start Time,End Time,Duration (min),Distance (m)
126,2022-10-01 00:21:00,true,40,package0,END: generated,0,nil,00:00:00,00:21:00,21.0,0.0
127,2022-10-01 00:21:10,true,40,package0,START: requestingDeliveryMode,nil
127,2022-10-01 00:21:10,true,40,package0,END: requestingDeliveryMode,0,nil,00:21:10,00:21:10,0.0,0.0
128,2022-10-01 00:21:20,true,40,package0,START: unserved,nil
354,2022-10-01 00:59:00,true,40,package3990,END: generated,0,nil,00:00:00,00:59:00,59.0,0.0
354,2022-10-01 00:59:00,true,40,package7980,END: generated,0,nil,00:00:00,00:59:00,59.0,0.0
355,2022-10-01 00:59:10,true,40,package3990,START: requestingDeliveryMode,nil
355,2022-10-01 00:59:10,true,40,package3990,END: requestingDeliveryMode,0,nil,00:59:10,00:59:10,0.0,0.0
355,2022-10-01 00:59:10,true,40,package7980,START: requestingDeliveryMode,nil
355,2022-10-01 00:59:10,true,40,package7980,END: requestingDeliveryMode,0,nil,00:59:10,00:59:10,0.0,0.0
356,2022-10-01 00:59:20,true,40,package3990,START: unserved,nil
356,2022-10-01 00:59:20,true,40,package7980,START: unserved,nil
1254,2022-10-01 03:29:00,true,40,package3,END: generated,0,nil,00:00:00,03:29:00,209.0,0.0
1255,2022-10-01 03:29:10,true,40,package3,START: requestingDeliveryMode,nil
1255,2022-10-01 03:29:10,true,40,package3,END: requestingDeliveryMode,0,nil,03:29:10,03:29:10,0.0,0.0
1256,2022-10-01 03:29:20,true,40,package3,START: unserved,nil
1608,2022-10-01 04:28:00,true,40,package3993,END: generated,0,nil,00:00:00,04:28:00,268.0,0.0
1609,2022-10-01 04:28:10,true,40,package3993,START: requestingDeliveryMode,nil
1609,2022-10-01 04:28:10,true,40,package3993,END: requestingDeliveryMode,0,nil,04:28:10,04:28:10,0.0,0.0
1610,2022-10-01 04:28:20,true,40,package3993,START: unserved,nil
1716,2022-10-01 04:46:00,true,40,package7983,END: generated,0,nil,00:00:00,04:46:00,286.0,0.0
1717,2022-10-01 04:46:10,true,40,package7983,START: requestingDeliveryMode,nil
1717,2022-10-01 04:46:10,true,40,package7983,END: requestingDeliveryMode,0,nil,04:46:10,04:46:10,0.0,0.0
1718,2022-10-01 04:46:20,true,40,package7983,START: unserved,nil
1782,2022-10-01 04:57:00,true,40,package6,END: generated,0,nil,00:00:00,04:57:00,297.0,0.0
1783,2022-10-01 04:57:10,true,40,package6,START: requestingDeliveryMode,nil
1783,2022-10-01 04:57:10,true,40,package6,END: requestingDeliveryMode,0,nil,04:57:10,04:57:10,0.0,0.0
1784,2022-10-01 04:57:20,true,40,package6,START: unserved,nil
1812,2022-10-01 05:02:00,true,40,package3996,END: generated,0,nil,00:00:00,05:02:00,302.0,0.0
1813,2022-10-01 05:02:10,true,40,package3996,START: requestingDeliveryMode,nil
1813,2022-10-01 05:02:10,true,40,package3996,END: requestingDeliveryMode,0,nil,05:02:10,05:02:10,0.0,0.0
1814,2022-10-01 05:02:20,true,40,package3996,START: unserved,nil
1848,2022-10-01 05:08:00,true,40,package7986,END: generated,0,nil,00:00:00,05:08:00,308.0,0.0
1849,2022-10-01 05:08:10,true,40,package7986,START: requestingDeliveryMode,nil
1849,2022-10-01 05:08:10,true,40,package7986,END: requestingDeliveryMode,0,nil,05:08:10,05:08:10,0.0,0.0
1850,2022-10-01 05:08:20,true,40,package7986,START: unserved,nil
1920,2022-10-01 05:20:00,true,40,package9,END: generated,0,nil,00:00:00,05:20:00,320.0,0.0
1921,2022-10-01 05:20:10,true,40,package9,START: requestingDeliveryMode,nil
1921,2022-10-01 05:20:10,true,40,package9,END: requestingDeliveryMode,0,nil,05:20:10,05:20:10,0.0,0.0
1922,2022-10-01 05:20:20,true,40,package9,START: unserved,nil
1938,2022-10-01 05:23:00,true,40,package3999,END: generated,0,nil,00:00:00,05:23:00,323.0,0.0
1939,2022-10-01 05:23:10,true,40,package3999,START: requestingDeliveryMode,nil
1939,2022-10-01 05:23:10,true,40,package3999,END: requestingDeliveryMode,0,nil,05:23:10,05:23:10,0.0,0.0
1940,2022-10-01 05:23:20,true,40,package3999,START: unserved,nil
1968,2022-10-01 05:28:00,true,40,package7989,END: generated,0,nil,00:00:00,05:28:00,328.0,0.0
1969,2022-10-01 05:28:10,true,40,package7989,START: requestingDeliveryMode,nil
1969,2022-10-01 05:28:10,true,40,package7989,END: requestingDeliveryMode,0,nil,05:28:10,05:28:10,0.0,0.0
1970,2022-10-01 05:28:20,true,40,package7989,START: unserved,nil
1980,2022-10-01 05:30:00,true,40,package12,END: generated,0,nil,00:00:00,05:30:00,330.0,0.0
1981,2022-10-01 05:30:10,true,40,package12,START: requestingDeliveryMode,nil
1981,2022-10-01 05:30:10,true,40,package12,END: requestingDeliveryMode,0,nil,05:30:10,05:30:10,0.0,0.0
1982,2022-10-01 05:30:20,true,40,package12,START: unserved,nil
2004,2022-10-01 05:34:00,true,40,package4002,END: generated,0,nil,00:00:00,05:34:00,334.0,0.0
2005,2022-10-01 05:34:10,true,40,package4002,START: requestingDeliveryMode,nil
2005,2022-10-01 05:34:10,true,40,package4002,END: requestingDeliveryMode,0,nil,05:34:10,05:34:10,0.0,0.0
2006,2022-10-01 05:34:20,true,40,package4002,START: unserved,nil
2016,2022-10-01 05:36:00,true,40,package7992,END: generated,0,nil,00:00:00,05:36:00,336.0,0.0
2017,2022-10-01 05:36:10,true,40,package7992,START: requestingDeliveryMode,nil
2017,2022-10-01 05:36:10,true,40,package7992,END: requestingDeliveryMode,0,nil,05:36:10,05:36:10,0.0,0.0
2018,2022-10-01 05:36:20,true,40,package7992,START: unserved,nil
2028,2022-10-01 05:38:00,true,40,package15,END: generated,0,nil,00:00:00,05:38:00,338.0,0.0
2028,2022-10-01 05:38:00,true,40,package4005,END: generated,0,nil,00:00:00,05:38:00,338.0,0.0
2028,2022-10-01 05:38:00,true,40,package7995,END: generated,0,nil,00:00:00,05:38:00,338.0,0.0
2029,2022-10-01 05:38:10,true,40,package15,START: requestingDeliveryMode,nil
2029,2022-10-01 05:38:10,true,40,package15,END: requestingDeliveryMode,0,nil,05:38:10,05:38:10,0.0,0.0
2029,2022-10-01 05:38:10,true,40,package4005,START: requestingDeliveryMode,nil
2029,2022-10-01 05:38:10,true,40,package4005,END: requestingDeliveryMode,0,nil,05:38:10,05:38:10,0.0,0.0
2029,2022-10-01 05:38:10,true,40,package7995,START: requestingDeliveryMode,nil
2029,2022-10-01 05:38:10,true,40,package7995,END: requestingDeliveryMode,0,nil,05:38:10,05:38:10,0.0,0.0
2030,2022-10-01 05:38:20,true,40,package15,START: unserved,nil
2030,2022-10-01 05:38:20,true,40,package4005,START: unserved,nil
2030,2022-10-01 05:38:20,true,40,package7995,START: unserved,nil
2064,2022-10-01 05:44:00,true,40,package18,END: generated,0,nil,00:00:00,05:44:00,344.0,0.0
2065,2022-10-01 05:44:10,true,40,package18,START: requestingDeliveryMode,nil
2065,2022-10-01 05:44:10,true,40,package18,END: requestingDeliveryMode,0,nil,05:44:10,05:44:10,0.0,0.0
2066,2022-10-01 05:44:20,true,40,package18,START: unserved,nil
2070,2022-10-01 05:45:00,true,40,package4008,END: generated,0,nil,00:00:00,05:45:00,345.0,0.0
2071,2022-10-01 05:45:10,true,40,package4008,START: requestingDeliveryMode,nil
2071,2022-10-01 05:45:10,true,40,package4008,END: requestingDeliveryMode,0,nil,05:45:10,05:45:10,0.0,0.0
2072,2022-10-01 05:45:20,true,40,package4008,START: unserved,nil
2100,2022-10-01 05:50:00,true,40,package7998,END: generated,0,nil,00:00:00,05:50:00,350.0,0.0
2101,2022-10-01 05:50:10,true,40,package7998,START: requestingDeliveryMode,nil
2101,2022-10-01 05:50:10,true,40,package7998,END: requestingDeliveryMode,0,nil,05:50:10,05:50:10,0.0,0.0
2102,2022-10-01 05:50:20,true,40,package7998,START: unserved,nil
2106,2022-10-01 05:51:00,true,40,package21,END: generated,0,nil,00:00:00,05:51:00,351.0,0.0
2106,2022-10-01 05:51:00,true,40,package4011,END: generated,0,nil,00:00:00,05:51:00,351.0,0.0
2107,2022-10-01 05:51:10,true,40,package21,START: requestingDeliveryMode,nil
2107,2022-10-01 05:51:10,true,40,package21,END: requestingDeliveryMode,0,nil,05:51:10,05:51:10,0.0,0.0
2107,2022-10-01 05:51:10,true,40,package4011,START: requestingDeliveryMode,nil
2107,2022-10-01 05:51:10,true,40,package4011,END: requestingDeliveryMode,0,nil,05:51:10,05:51:10,0.0,0.0
2108,2022-10-01 05:51:20,true,40,package21,START: unserved,nil
2108,2022-10-01 05:51:20,true,40,package4011,START: unserved,nil
2112,2022-10-01 05:52:00,true,40,package24,END: generated,0,nil,00:00:00,05:52:00,352.0,0.0
2112,2022-10-01 05:52:00,true,40,package8001,END: generated,0,nil,00:00:00,05:52:00,352.0,0.0
2113,2022-10-01 05:52:10,true,40,package24,START: requestingDeliveryMode,nil
2113,2022-10-01 05:52:10,true,40,package24,END: requestingDeliveryMode,0,nil,05:52:10,05:52:10,0.0,0.0
2113,2022-10-01 05:52:10,true,40,package8001,START: requestingDeliveryMode,nil
2113,2022-10-01 05:52:10,true,40,package8001,END: requestingDeliveryMode,0,nil,05:52:10,05:52:10,0.0,0.0
2114,2022-10-01 05:52:20,true,40,package24,START: unserved,nil
2114,2022-10-01 05:52:20,true,40,package8001,START: unserved,nil
2124,2022-10-01 05:54:00,true,40,package27,END: generated,0,nil,00:00:00,05:54:00,354.0,0.0
2124,2022-10-01 05:54:00,true,40,package4014,END: generated,0,nil,00:00:00,05:54:00,354.0,0.0
2124,2022-10-01 05:54:00,true,40,package8004,END: generated,0,nil,00:00:00,05:54:00,354.0,0.0
2125,2022-10-01 05:54:10,true,40,package27,START: requestingDeliveryMode,nil
2125,2022-10-01 05:54:10,true,40,package27,END: requestingDeliveryMode,0,nil,05:54:10,05:54:10,0.0,0.0
2125,2022-10-01 05:54:10,true,40,package4014,START: requestingDeliveryMode,nil
2125,2022-10-01 05:54:10,true,40,package4014,END: requestingDeliveryMode,0,nil,05:54:10,05:54:10,0.0,0.0
2125,2022-10-01 05:54:10,true,40,package8004,START: requestingDeliveryMode,nil
2125,2022-10-01 05:54:10,true,40,package8004,END: requestingDeliveryMode,0,nil,05:54:10,05:54:10,0.0,0.0
2126,2022-10-01 05:54:20,true,40,package27,START: unserved,nil
2126,2022-10-01 05:54:20,true,40,package4014,START: unserved,nil
2126,2022-10-01 05:54:20,true,40,package8004,START: unserved,nil
2166,2022-10-01 06:01:00,true,40,package4017,END: generated,0,nil,00:00:00,06:01:00,361.0,0.0
2167,2022-10-01 06:01:10,true,40,package4017,START: requestingDeliveryMode,nil
2167,2022-10-01 06:01:10,true,40,package4017,END: requestingDeliveryMode,0,nil,06:01:10,06:01:10,0.0,0.0
2168,2022-10-01 06:01:20,true,40,package4017,START: unserved,nil
2172,2022-10-01 06:02:00,true,40,package30,END: generated,0,nil,00:00:00,06:02:00,362.0,0.0
2172,2022-10-01 06:02:00,true,40,package8007,END: generated,0,nil,00:00:00,06:02:00,362.0,0.0
2173,2022-10-01 06:02:10,true,40,package30,START: requestingDeliveryMode,nil
2173,2022-10-01 06:02:10,true,40,package30,END: requestingDeliveryMode,0,nil,06:02:10,06:02:10,0.0,0.0
2173,2022-10-01 06:02:10,true,40,package8007,START: requestingDeliveryMode,nil
2173,2022-10-01 06:02:10,true,40,package8007,END: requestingDeliveryMode,0,nil,06:02:10,06:02:10,0.0,0.0
2174,2022-10-01 06:02:20,true,40,package30,START: unserved,nil
2174,2022-10-01 06:02:20,true,40,package8007,START: unserved,nil
2178,2022-10-01 06:03:00,true,40,package4020,END: generated,0,nil,00:00:00,06:03:00,363.0,0.0
2179,2022-10-01 06:03:10,true,40,package4020,START: requestingDeliveryMode,nil
2179,2022-10-01 06:03:10,true,40,package4020,END: requestingDeliveryMode,0,nil,06:03:10,06:03:10,0.0,0.0
2180,2022-10-01 06:03:20,true,40,package4020,START: unserved,nil
2196,2022-10-01 06:06:00,true,40,package8010,END: generated,0,nil,00:00:00,06:06:00,366.0,0.0
2197,2022-10-01 06:06:10,true,40,package8010,START: requestingDeliveryMode,nil
2197,2022-10-01 06:06:10,true,40,package8010,END: requestingDeliveryMode,0,nil,06:06:10,06:06:10,0.0,0.0
2198,2022-10-01 06:06:20,true,40,package8010,START: unserved,nil
2220,2022-10-01 06:10:00,true,40,package33,END: generated,0,nil,00:00:00,06:10:00,370.0,0.0
2221,2022-10-01 06:10:10,true,40,package33,START: requestingDeliveryMode,nil
2221,2022-10-01 06:10:10,true,40,package33,END: requestingDeliveryMode,0,nil,06:10:10,06:10:10,0.0,0.0
2222,2022-10-01 06:10:20,true,40,package33,START: unserved,nil
